unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,pickup_location,dropoff_latitude,dropoff_longitude,dropoff_location
16ba37ca6cc518116bc5be7ef36d1a6af7eb63a4,b884dd3799982951b7b1293d92a3e6e90ba3483a6fdbf28b1d813c80ff75bf6d1308919a4a9ab4a688512a63f145deb2c75cca7f80f5e5f6ac9de185fb4bd760,2014-09-29 19:45:00.000000 UTC,2014-09-29 19:45:00.000000 UTC,0,0.0,,,,,5.85,0.75,0.0,0.0,6.6,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,
b48fff60f3da362c9c7d934083ac8b1cf992c9cc,df0730de65d455fc451fcb38dd627f877943cf490f571954b85e996f37a6e21944ed43b41cf5dce3f782b18c5577f0659b8bdb7f903ca55b2ef1610202bb25f3,2016-03-10 12:30:00.000000 UTC,2016-03-10 12:30:00.000000 UTC,0,0.0,,,,,12.75,2.55,0.0,0.0,15.3,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,
9563f5c66e46d64955180374f825ef9d6b4695c1,f9aee16b2de2973e98d52db66fb4a63a8dfd859ac95f9a5fa3dc2c2af2b8b4102d6b886a9115509152a8fa875eeea7f4faf1814323ee61c49974209d31404a65,2017-11-01 19:30:00.000000 UTC,2017-11-01 19:45:00.000000 UTC,520,1.4,,,,,7.25,3.0,0.0,1.5,12.25,Credit Card,Blue Diamond,,,,,,
beeb3d753a9660b8a01c40b6ce8ca65667555a8d,4923b6c4d0e73f1cb052c0b7833dc1e76d9b31ad5c20c75d9280e48d1a4e8d45eadc81877953654f6169cf534c6be7e355461e7ad094b8e7d9c7cd055cfbfc72,2013-12-27 18:30:00.000000 UTC,2013-12-27 18:30:00.000000 UTC,300,1.7,,,,,6.05,0.0,0.0,0.0,6.05,Cash,,,,,,,
2cbcd3248a34cc50d8e7d2b2d10a2bd34e800194,ebeddb1a46a678ddd6a4dd994f14cda416dc9b2adf3ed3822bad95859e616533a27c60c6a139311090c6b1c1e4a84a30a0ef79e2c7dddb3dee982e3ea40212b5,2015-02-03 14:15:00.000000 UTC,2015-02-03 14:15:00.000000 UTC,0,0.0,,,,,5.85,1.17,0.0,0.0,7.02,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,
d839778a1e7a3f86523f7a8183882e2720459a0d,6e009c7c3937a637f56145e78479abb4b8c79151a170d86659cfb2988c503e34b7c5cea93d22cd1f70a0173a48e0a49ae37d6c4ae58b9fb0df10bb2980a65c74,2013-05-01 18:00:00.000000 UTC,2013-05-01 18:00:00.000000 UTC,,0.0,,,,,9.25,2.0,0.0,0.0,11.25,Credit Card,Chicago Elite Cab Corp.,,,,,,
821f01ddce6af9dbd0dae044d165a7e03ac37918,4c437b70b55212de32439053c915572d336a8cc2fb712999ae6fe0fef3b8d0018beacdd3643cf559873ae04b6a2a9c3b01a821ff06f47bffdc6d03efa200d78d,2014-06-14 03:15:00.000000 UTC,2014-06-14 03:15:00.000000 UTC,0,0.0,,,,,6.85,0.0,0.0,0.0,6.85,Credit Card,T.A.S. - Payment Only,,,,,,
94de798302d32a5ce9d5748e5d224bebe9e97486,ca2e49fc5f32316d5c59cabe4993d8f7b27ee126bc505836ae638a3a60ddf28a06fd497610cc6647831d8104f0574bcd8cea05fa5a8bd124061bfee79df6c1f2,2016-01-06 00:00:00.000000 UTC,2016-01-06 00:00:00.000000 UTC,0,0.0,,,,,16.25,3.0,0.0,0.0,19.25,Credit Card,T.A.S. - Payment Only,,,,,,
cb3ca964ec1648a5bddaf75ca01ddf58e7def44a,ffc2a618ad19a63fa5e9ce8b1bd68656172b2eac505f0a29b2a5a9460b7035e208d4871b529b55ec38efbb431acb50f123c39db0a8012c1c0a4a2fc20799e3ca,2013-02-23 01:30:00.000000 UTC,2013-02-23 01:45:00.000000 UTC,840,7.7,,,,,18.45,0.0,0.0,0.0,18.45,Cash,,,,,,,
b9415f10fb03f8a9ef761800180180556bdb9950,5daf7e0f7e6c5adfabc22030d4aad8b934bd3621027208dbce2ed0905aae1cba8fb42f0990d6957d6557772344f52b869d434128b8aadc61da4d26931a60afe7,2014-04-15 16:15:00.000000 UTC,2014-04-15 17:15:00.000000 UTC,3600,12.9,,,,,31.45,0.0,0.0,3.5,34.95,Cash,Dispatch Taxi Affiliation,,,,,,
